id,OBJECTID,taz,type,town,state,town_state,mpo,in_brmpo,subregion,Shape_Leng,Shape_Area,WeightSum,WeightxHRSum,WeightxDRSum,WeightxMRSum,Weighted_Average_HR,Weighted_Average_DR,Weighted_Average_MR,,Weighted_Average_MR_2010,MR25,Match_MR25,PERCENT DIFF,Weighted_Average_DR_2010,DR25,Match_DR25,PERCENT DIFF,Weighted_Average_HR_2010,HR25,Match_HR25,PERCENT DIFF
4398,1,0,I,MIDDLEBOROUGH,MA,"MIDDLEBOROUGH,MA",SRPEDD,0,,22284.46335,20167447.56,16,0,0,0,0,0,0,,0,,,,0,,,,0,,,
2571,2,1,I,BRIDGEWATER,MA,"BRIDGEWATER,MA",OCPC,0,,18241.69728,9283491.955,16,0,0,0,0,0,0,,0,,,,0,,,,0,,,
2669,3,2,I,HALIFAX,MA,"HALIFAX,MA",OCPC,0,,17900.67476,16058291.62,16,0,0,0,0,0,0,,0,,,,0,,,,0,,,
4392,4,3,I,MIDDLEBOROUGH,MA,"MIDDLEBOROUGH,MA",SRPEDD,0,,23735.09895,19921323.2,16,0,0,0,0,0,0,,0,,,,0,,,,0,,,
2641,5,49,I,MARSHFIELD,MA,"MARSHFIELD,MA",BRMPO,1,SSC,19458.11192,4236087.842,16,0,0,0,0,0,0,,0,,,,0,,,,0,,,
2643,6,50,I,MARSHFIELD,MA,"MARSHFIELD,MA",BRMPO,1,SSC,18394.73953,7058618.08,16,0,0,0,0,0,0,,0,,,,0,,,,0,,,
2666,7,51,I,DUXBURY,MA,"DUXBURY,MA",OCPC,0,,63168.96154,6570340.971,16,0,0,0,0,0,0,,0,,,,0,,,,0,,,
2665,8,52,I,DUXBURY,MA,"DUXBURY,MA",OCPC,0,,14260.83056,4534400.798,16,0,0,0,0,0,0,,0,,,,0,,,,0,,,
2675,9,53,I,KINGSTON,MA,"KINGSTON,MA",OCPC,0,,9247.484093,2594486.129,16,0,0,0,0,0,0,,0,,,,0,,,,0,,,
1961,10,1804,I,NEWBURY,MA,"NEWBURY,MA",MVPC,0,,30299.49795,5686829.201,16,0,0,0,0,0,0,,0,,,,0,,,,0,,,
2569,11,4,I,BRIDGEWATER,MA,"BRIDGEWATER,MA",OCPC,0,,13498.20211,6366971.748,16,0,0,0,0,0,0,,0,,,,0,,,,0,,,
2670,12,5,I,HALIFAX,MA,"HALIFAX,MA",OCPC,0,,12087.9435,6622156.532,16,0,0,0,0,0,0,,0,,,,0,,,,0,,,
2674,13,6,I,PLYMPTON,MA,"PLYMPTON,MA",OCPC,0,,24348.82661,30384318.35,16,0,0,0,0,0,0,,0,,,,0,,,,0,,,
2542,14,7,I,EAST BRIDGEWATER,MA,"EAST BRIDGEWATER,MA",OCPC,0,,21809.60204,8526461.003,16,0,0,0,0,0,0,,0,,,,0,,,,0,,,
1807,15,124,I,BRAINTREE,MA,"BRAINTREE,MA",BRMPO,1,SSC,7255.229988,2669503.894,16,0,0,0,0,0,0,,0,,,,0,,,,0,,,
2672,16,8,I,HALIFAX,MA,"HALIFAX,MA",OCPC,0,,12646.50824,7306987.327,16,0,0,0,0,0,0,,0,,,,0,,,,0,,,
2673,17,9,I,PLYMPTON,MA,"PLYMPTON,MA",OCPC,0,,14771.49785,8737142.018,16,0,0,0,0,0,0,,0,,,,0,,,,0,,,
2684,18,10,I,KINGSTON,MA,"KINGSTON,MA",OCPC,0,,21265.27356,17216053.23,16,0,0,0,0,0,0,,0,,,,0,,,,0,,,
4406,19,11,I,CARVER,MA,"CARVER,MA",SRPEDD,0,,14113.76835,9249418.541,16,0,0,0,0,0,0,,0,,,,0,,,,0,,,
4313,20,464,I,NEW BEDFORD,MA,"NEW BEDFORD,MA",SRPEDD,0,,1500.314397,144088.0652,16,0,0,0,0,0,0,,0,,,,0,,,,0,,,
4407,21,12,I,CARVER,MA,"CARVER,MA",SRPEDD,0,,15590.47672,8500103.119,16,0,0,0,0,0,0,,0,,,,0,,,,0,,,
1829,22,125,I,WEYMOUTH,MA,"WEYMOUTH,MA",BRMPO,1,SSC,5038.504404,1374844.017,16,0,0,0,0,0,0,,0,,,,0,,,,0,,,
4314,23,465,I,NEW BEDFORD,MA,"NEW BEDFORD,MA",SRPEDD,0,,1437.26466,128963.1928,16,0,0,0,0,0,0,,0,,,,0,,,,0,,,
4408,24,13,I,CARVER,MA,"CARVER,MA",SRPEDD,0,,14705.08136,7112613.065,16,0,0,0,0,0,0,,0,,,,0,,,,0,,,
2668,25,14,I,HALIFAX,MA,"HALIFAX,MA",OCPC,0,,13069.4601,10115186.03,16,0,0,0,0,0,0,,0,,,,0,,,,0,,,
1900,26,72,I,HANOVER,MA,"HANOVER,MA",OCPC,0,,3342.842197,609802.9561,16,0,0,0,0,0,0,,0,,,,0,,,,0,,,
2654,27,15,I,PEMBROKE,MA,"PEMBROKE,MA",OCPC,0,,14832.38162,9365574.293,16,0,0,0,0,0,0,,0,,,,0,,,,0,,,
2655,28,16,I,PEMBROKE,MA,"PEMBROKE,MA",OCPC,0,,19281.02662,14333488.91,16,0,0,0,0,0,0,,0,,,,0,,,,0,,,
1794,29,158,I,BRAINTREE,MA,"BRAINTREE,MA",BRMPO,1,SSC,4060.48972,741903.566,16,0,0,0,0,0,0,,0,,,,0,,,,0,,,
4324,30,466,I,NEW BEDFORD,MA,"NEW BEDFORD,MA",SRPEDD,0,,1764.894945,179329.7807,16,0,0,0,0,0,0,,0,,,,0,,,,0,,,
2682,31,17,I,KINGSTON,MA,"KINGSTON,MA",OCPC,0,,9514.722278,4935205.923,16,0,0,0,0,0,0,,0,,,,0,,,,0,,,
2683,32,18,I,KINGSTON,MA,"KINGSTON,MA",OCPC,0,,14881.59,7145753.286,16,0,0,0,0,0,0,,0,,,,0,,,,0,,,
2680,33,19,I,KINGSTON,MA,"KINGSTON,MA",OCPC,0,,9276.052946,2647500.771,16,0,0,0,0,0,0,,0,,,,0,,,,0,,,
2677,34,20,I,KINGSTON,MA,"KINGSTON,MA",OCPC,0,,10758.62491,3197664.989,16,0,0,0,0,0,0,,0,,,,0,,,,0,,,
1833,35,112,I,WEYMOUTH,MA,"WEYMOUTH,MA",BRMPO,1,SSC,4403.069273,1164698.318,16,0,0,0,0,0,0,,0,,,,0,,,,0,,,
2707,36,21,I,PLYMOUTH,MA,"PLYMOUTH,MA",OCPC,0,,9567.968251,4564000.698,16,0,0,0,0,0,0,,0,,,,0,,,,0,,,
2649,37,22,I,HANSON,MA,"HANSON,MA",OCPC,0,,12010.52252,7536152.605,16,0,0,0,0,0,0,,0,,,,0,,,,0,,,
1830,38,113,I,WEYMOUTH,MA,"WEYMOUTH,MA",BRMPO,1,SSC,2869.78978,328987.5868,16,0,0,0,0,0,0,,0,,,,0,,,,0,,,
4295,39,566,I,NEW BEDFORD,MA,"NEW BEDFORD,MA",SRPEDD,0,,1369.781773,111874.0726,16,0,0,0,0,0,0,,0,,,,0,,,,0,,,
2671,40,23,I,HALIFAX,MA,"HALIFAX,MA",OCPC,0,,10076.77547,4926376.775,16,0,0,0,0,0,0,,0,,,,0,,,,0,,,
2653,41,24,I,PEMBROKE,MA,"PEMBROKE,MA",OCPC,0,,15346.12318,6626817.779,16,0,0,0,0,0,0,,0,,,,0,,,,0,,,
