lot_name,lot_address,daily_rates,monthly_rates,rate_simple,lot_url
 Municipal Lot #018,"450 W Broadway Boston, MA 02127, US ",2 Hours: Mon-Fri; 8am-6pm Free; Mon-Fri: 6pm-8am Free; Sat-Sun:  Free; ,Mon-Sun:  24 Hours,$0.00,https://www.parkme.com/lot/26928
 Boston Fish Pier - West Lot,"Boston Fish Pier Boston, MA 02210, US ",1 Hour:  $8; 2 Hours:  $19; 3 Hours:  $25; 4 Hours:  $32; Max: Out By 3am $38; ,Mon-Sun:  24 Hours,$8.00,https://www.parkme.com/lot/115652
 Parking Lot H,"Port Ln Boston, MA 02210, US ",Event:  $30; 1 Hour:  $9; 2 Hours:  $19; 3 Hours:  $25; 4 Hours:  $32; Daily Max:  $38; ,Mon-Sun:  24 Hours,$9.00,https://www.parkme.com/lot/372071/parking-lot-h-boston-12-ma?entry-date=2022-01-24T13:33&duration=60
 Channel Center Garage,"Medallion Ave Boston, MA 02127, US ",30 Min: Mon-Fri $6; 1 Hour: Mon-Fri $12; 2 Hours: Mon-Fri $18; 3 Hours: Mon-Fri $20; Max: Mon-Fri; Out By 3:30am $28; Early Bird: In By 9am / Out By 7pm $21; Evening: In After 6pm $8; Sat-Sun:  $8; ,Mon-Fri:  5:30am-10pm,$12.00,https://www.parkme.com/lot/24334/channel-center-garage-boston-ma?entry-date=2022-01-24T13:33&duration=60
 Necco Street Garage,"10 Necco St Boston, MA 02210, US ",30 Min:  $7; 1 Hour:  $12; 1.5 Hours:  $19; Daily Max:  $30; Sat-Sun:  $8; Early Bird: In By 8am / Out By 6pm $26; Evening: In After 5pm / Out By 1am; With Validation $5; ,Monthly:  $150-$590,$12.00,https://www.parkme.com/lot/26186/necco-street-garage-boston-ma?entry-date=2022-01-24T13:33&duration=60
 Marine Industrial Park Central Parking Garage,,,,$12.00,http://www.parkme.com/map/partner_redirect?url=https%3A%2F%2Fwww.parkwhiz.com%2Fp%2F9555%3Fpwa%3D4d19400%26start_date%3D01%2F24%2F2022%26end_date%3D01%2F24%2F2022%26start_time%3D13%3A33%26end_time%3D14%3A33&name=Marine+Industrial+Park+Central+Parking+Garage&show=true
 Stillings Garage,"11 Stillings St Boston, MA 02210, US ",30 Min:  $7; 1 Hour:  $12; 1.5 Hours:  $17; Daily Max:  $25; Early Bird: In By 8am / Out By 6pm $20; Evening: Mon-Fri; In After 5pm $10; Sat-Sun:  $16; Max: With Validation $23; ,Monthly:  $150-$480,$12.00,https://www.parkme.com/lot/32201/stillings-garage-south-boston-ma?entry-date=2022-01-24T13:33&duration=60
 D Lot,"68 Butler St Boston, MA 02210, US ",1 Hour:  $12; 2 Hours:  $18; 3 Hours:  $20; Max: Out By 7am $25; Evening: In After 7pm / Out By 7am $15; ,Monthly:  $200-$295,$12.00,https://www.parkme.com/lot/213569/d-lot-boston-ma?entry-date=2022-01-24T13:33&duration=60
 Seaport Parking,"181 Seaport Blvd Boston, MA 02210, US ",1 Hour:  $14; 3 Hours:  $30; 6 Hours:  $34; 10 Hours:  $36; 24 Hours:  $40; ,Monthly:  $130-$410,$14.00,https://www.parkme.com/lot/32202/seaport-parking-boston-12-ma?entry-date=2022-01-24T13:33&duration=60
 Farnsworth Garage,"17 Farnsworth St Boston, MA 02210, US ",30 Min:  $11; 1 Hours:  $16; 1.5 Hours:  $21; 2 Hours:  $26; Daily Max:  $32; Max: With Validation $24; ,Monthly:  $500,$16.00,https://www.parkme.com/lot/15346/farnsworth-garage-boston-12-ma?entry-date=2022-01-24T13:33&duration=60
 55 Park Ln Garage,"55 Park Ln Boston, MA 02210, US ",30 Min:  $11; 1 Hour:  $16; 1.5 Hours:  $22; 2 Hours:  $28; 3 Hours:  $30; 6 Hours:  $34; 10 Hours:  $36; 24 Hours:  $39; ,Monthly:  $205-$410,$16.00,https://www.parkme.com/lot/52879/55-park-ln?entry-date=2022-01-24T13:33&duration=60
 321 Congress St Parking,"321 Congress St Boston, MA 02210, US ",1 Hour:  $17; Daily Max:  $32; Early Bird: Mon-Fri; In By 9am / Out By 3am $28; Evening: Mon-Fri; In After 5pm / Out By 3am $17; Sat-Sun:  $17; ,Monthly:  $450,$17.00,https://www.parkme.com/lot/24331/321-congress-st?entry-date=2022-01-24T13:33&duration=60
 99 High,,,,$18.00,http://www.parkme.com/map/partner_redirect?url=https%3A%2F%2Fwww.parkwhiz.com%2Fp%2F11198%3Fpwa%3D4d19400%26start_date%3D01%2F24%2F2022%26end_date%3D01%2F24%2F2022%26start_time%3D13%3A33%26end_time%3D14%3A33&name=99+High&show=true
